index,country,city,latitude,longitude,altitude
5613,Jordan,Al Karamah,31.9522222,35.5791664,-279
5601,Jordan,Kurayyimah,32.2791667,35.5977783,-209
5629,Jordan,Waqqas,32.55,35.5999985,-134
5233,Israel,Tiberias,32.7955556,35.5286102,-39
5669,Kazakhstan,Atyrau,47.1166667,51.8833351,-25
853,Azerbaijan,Astara,38.4561111,48.8786125,-24
5726,Kazakhstan,Maqat,47.65,53.3166656,-22
5738,Kazakhstan,Quryq,43.2,51.6500015,-22
870,Azerbaijan,Zira,40.3636111,50.2902794,-21
872,Azerbaijan,Turkan,40.3638889,50.2150002,-20
824,Azerbaijan,Hovsan,40.3744444,50.0852776,-18
5713,Kazakhstan,Balyqshy,47.0666667,51.8666649,-17
5003,Iran,Bandar-e Anzali,37.4711111,49.4622231,-16
832,Azerbaijan,Sabirabad,40.0127778,48.4788895,-15
858,Azerbaijan,Qobustan,40.0841667,49.4158325,-15
901,Azerbaijan,Mugan,40.0986111,48.8188896,-12
834,Azerbaijan,Buzovna,40.5161111,50.1163902,-11
900,Azerbaijan,Kijoba,38.5327778,48.8166656,-11
841,Azerbaijan,Haci Zeynalabdin,40.6233333,49.5586128,-10
8340,Russia,Makhachkala,42.9752778,47.502224,-10
894,Azerbaijan,Boradigah,38.9277778,48.7086105,-9
903,Azerbaijan,Hasanabad,39.3213889,49.2091675,-8
844,Azerbaijan,Neftcala,39.3586111,49.2469444,-7
887,Azerbaijan,Banka,39.42,49.2475014,-7
904,Azerbaijan,Qaracala,39.8077778,48.9338875,-7
906,Azerbaijan,Xilli,39.4266667,49.1063881,-7
3161,Netherlands,Hoofddorp,52.3025,4.688889,-5
3176,Netherlands,Amstelveen,52.300833,4.8638892,-5
3239,Netherlands,Mijdrecht,52.206667,4.8625002,-5
5723,Kazakhstan,Beyneu,45.3166667,55.2000008,-5
823,Azerbaijan,Salyan,39.595,48.9791679,-4
852,Azerbaijan,Mardakan,40.4922222,50.1388893,-4
3146,Netherlands,Rotterdam,51.9225,4.479167,-4
3165,Netherlands,Zoetermeer,52.0575,4.4930558,-4
3186,Netherlands,Lelystad,52.508333,5.4749999,-4
837,Azerbaijan,Qazimammad,40.0433333,48.9355545,-3
857,Azerbaijan,Artyom,40.4708333,50.3216667,-3
3152,Netherlands,Almere Stad,52.3702542,5.2141285,-3
3192,Netherlands,Capelle-West,51.9166667,4.5666666,-3
3211,Netherlands,Emmeloord,52.710833,5.748611,-3
3228,Netherlands,Dronten,52.525,5.7180562,-3
3145,Netherlands,Amsterdam,52.373084,4.8999023,-2
3158,Netherlands,Zaanstad,52.45,4.8333335,-2
3169,Netherlands,Delft,52.006667,4.355556,-2
3170,Netherlands,Alkmaar,52.631667,4.748611,-2
3174,Netherlands,Amsterdam-Zuidoost,52.3075,4.9722219,-2
3178,Netherlands,Purmerend,52.505,4.959722,-2
3181,Netherlands,Spijkenisse,51.845,4.3291669,-2
3184,Netherlands,Gouda,52.016667,4.708333,-2
3187,Netherlands,Alphen aan den Rijn,52.1291677,4.6554565,-2
3208,Netherlands,Heerhugowaard,52.6666667,4.8499999,-2
879,Azerbaijan,Corat,40.5725,49.7063904,-1
3163,Netherlands,Leiden,52.158333,4.4930558,-1
3180,Netherlands,Schiedam,51.919167,4.3888888,-1
3185,Netherlands,Zaandam,52.44,4.8249998,-1
3188,Netherlands,Hoorn,52.6425,5.0597219,-1
3212,Netherlands,Zwijndrecht,51.8175,4.6333332,-1
3227,Netherlands,Barendrecht,51.856667,4.5347219,-1
3242,Netherlands,Sneek,53.0333333,5.6666665,-1
5035,Iran,Langerud,37.1952778,50.1491661,-1
288,United States,Phoenix,33.4483771,-112.0740356,0
316,United States,New Orleans,29.9546482,-90.0750732,0
326,United States,Oakland,37.8043722,-122.2708054,0
329,United States,Omaha,41.2586096,-95.9377899,0
331,United States,Honolulu,21.3069444,-157.8583374,0
354,United States,Anchorage,61.2180556,-149.9002838,0
370,United States,Baton Rouge,30.4507462,-91.1545486,0
8956,Korea,Nonsan,36.2038889,127.0847244,1
3812,Gambia,Barra,13.4827778,-16.5455551,1
3826,Gambia,Saba,13.5163889,-16.0491676,1
3822,Gambia,Kuntaur,13.6666667,-14.8833332,1
